geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,is_in_european_union
49518,zh-CN,AF,非洲,RW,卢旺达,0
51537,zh-CN,AF,非洲,SO,索马里,0
69543,zh-CN,AS,亚洲,YE,也门,0
99237,zh-CN,AS,亚洲,IQ,伊拉克,0
102358,zh-CN,AS,亚洲,SA,沙特阿拉伯,0
130758,zh-CN,AS,亚洲,IR,伊朗,0
146669,zh-CN,EU,欧洲,CY,塞浦路斯,1
149590,zh-CN,AF,非洲,TZ,坦桑尼亚,0
163843,zh-CN,AS,亚洲,SY,叙利亚,0
174982,zh-CN,AS,亚洲,AM,亚美尼亚,0
192950,zh-CN,AF,非洲,KE,肯尼亚,0
203312,zh-CN,AF,非洲,CD,扎伊尔,0
223816,zh-CN,AF,非洲,DJ,吉布提,0
226074,zh-CN,AF,非洲,UG,乌干达,0
239880,zh-CN,AF,非洲,CF,中非,0
241170,zh-CN,AF,非洲,SC,塞舌尔,0
248816,zh-CN,AS,亚洲,JO,约旦,0
272103,zh-CN,AS,亚洲,LB,黎巴嫩,0
285570,zh-CN,AS,亚洲,KW,科威特,0
286963,zh-CN,AS,亚洲,OM,阿曼,0
289688,zh-CN,AS,亚洲,QA,卡塔尔,0
290291,zh-CN,AS,亚洲,BH,巴林,0
290557,zh-CN,AS,亚洲,AE,阿联酋,0
294640,zh-CN,AS,亚洲,IL,以色列,0
298795,zh-CN,AS,亚洲,TR,土耳其,0
337996,zh-CN,AF,非洲,ET,埃塞俄比亚,0
338010,zh-CN,AF,非洲,ER,厄立特里亚,0
357994,zh-CN,AF,非洲,EG,埃及,0
366755,zh-CN,AF,非洲,SD,苏丹,0
390903,zh-CN,EU,欧洲,GR,希腊,1
433561,zh-CN,AF,非洲,BI,布隆迪,0
453733,zh-CN,EU,欧洲,EE,爱沙尼亚,1
458258,zh-CN,EU,欧洲,LV,拉脱维亚,1
587116,zh-CN,AS,亚洲,AZ,阿塞拜疆,0
597427,zh-CN,EU,欧洲,LT,立陶宛,1
607072,zh-CN,EU,欧洲,SJ,斯瓦尔巴岛和扬马延岛,0
614540,zh-CN,AS,亚洲,GE,格鲁吉亚,0
617790,zh-CN,EU,欧洲,MD,摩尔多瓦,0
630336,zh-CN,EU,欧洲,BY,白俄罗斯,0
660013,zh-CN,EU,欧洲,FI,芬兰,1
661882,zh-CN,EU,欧洲,AX,奥兰群岛,1
690791,zh-CN,EU,欧洲,UA,乌克兰,0
718075,zh-CN,EU,欧洲,MK,前南马其顿,0
719819,zh-CN,EU,欧洲,HU,匈牙利,1
732800,zh-CN,EU,欧洲,BG,保加利亚,1
783754,zh-CN,EU,欧洲,AL,阿尔巴尼亚,0
798544,zh-CN,EU,欧洲,PL,波兰,1
798549,zh-CN,EU,欧洲,RO,罗马尼亚,1
831053,zh-CN,EU,欧洲,XK,科索沃,0
878675,zh-CN,AF,非洲,ZW,津巴布韦,0
895949,zh-CN,AF,非洲,ZM,赞比亚,0
921929,zh-CN,AF,非洲,KM,科摩罗,0
927384,zh-CN,AF,非洲,MW,马拉维,0
932692,zh-CN,AF,非洲,LS,莱索托,0
933860,zh-CN,AF,非洲,BW,博茨瓦纳,0
934292,zh-CN,AF,非洲,MU,毛里求斯,0
934841,zh-CN,AF,非洲,SZ,斯威士兰,0
935317,zh-CN,AF,非洲,RE,留尼汪,1
953987,zh-CN,AF,非洲,ZA,南非,0
1024031,zh-CN,AF,非洲,YT,马约特,1
1036973,zh-CN,AF,非洲,MZ,莫桑比克,0
1062947,zh-CN,AF,非洲,MG,马达加斯加,0
1149361,zh-CN,AS,亚洲,AF,阿富汗,0
1168579,zh-CN,AS,亚洲,PK,巴基斯坦,0
1210997,zh-CN,AS,亚洲,BD,孟加拉国,0
1218197,zh-CN,AS,亚洲,TM,土库曼斯坦,0
1220409,zh-CN,AS,亚洲,TJ,塔吉克斯坦,0
1227603,zh-CN,AS,亚洲,LK,斯里兰卡,0
1252634,zh-CN,AS,亚洲,BT,不丹,0
1269750,zh-CN,AS,亚洲,IN,印度,0
1282028,zh-CN,AS,亚洲,MV,马尔代夫,0
1282588,zh-CN,AS,亚洲,IO,英属印度洋领地,0
1282988,zh-CN,AS,亚洲,NP,尼泊尔,0
1327865,zh-CN,AS,亚洲,MM,缅甸,0
1512440,zh-CN,AS,亚洲,UZ,乌兹别克斯坦,0
1522867,zh-CN,AS,亚洲,KZ,哈萨克斯坦,0
1527747,zh-CN,AS,亚洲,KG,吉尔吉斯斯坦,0
1546748,zh-CN,AN,南极洲,TF,法属南部领地,0
1547314,zh-CN,AN,南极洲,HM,赫德岛和麦克唐纳岛,0
1547376,zh-CN,AS,亚洲,CC,科科斯（基林）群岛,0
1559582,zh-CN,OC,大洋洲,PW,帕劳,0
1562822,zh-CN,AS,亚洲,VN,越南,0
1605651,zh-CN,AS,亚洲,TH,泰国,0
1643084,zh-CN,AS,亚洲,ID,印度尼西亚,0
1655842,zh-CN,AS,亚洲,LA,老挝,0
1668284,zh-CN,AS,亚洲,TW,台湾,0
1694008,zh-CN,AS,亚洲,PH,菲律宾,0
1733045,zh-CN,AS,亚洲,MY,马来西亚,0
1814991,zh-CN,AS,亚洲,CN,中国,0
1819730,zh-CN,AS,亚洲,HK,香港,0
1820814,zh-CN,AS,亚洲,BN,文莱,0
1821275,zh-CN,AS,亚洲,MO,澳门,0
1831722,zh-CN,AS,亚洲,KH,柬埔寨,0
1835841,zh-CN,AS,亚洲,KR,韩国,0
1861060,zh-CN,AS,亚洲,JP,日本,0
1873107,zh-CN,AS,亚洲,KP,朝鲜,0
1880251,zh-CN,AS,亚洲,SG,新加坡,0
1899402,zh-CN,OC,大洋洲,CK,库克群岛,0
1966436,zh-CN,OC,大洋洲,TL,东帝汶,0
2017370,zh-CN,EU,欧洲,RU,俄罗斯联邦,0
2029969,zh-CN,AS,亚洲,MN,蒙古,0
2077456,zh-CN,OC,大洋洲,AU,澳大利亚,0
2078138,zh-CN,OC,大洋洲,CX,圣诞岛,0
2080185,zh-CN,OC,大洋洲,MH,马绍尔群岛,0
2081918,zh-CN,OC,大洋洲,FM,密克罗尼西亚联邦,0
2088628,zh-CN,OC,大洋洲,PG,巴布亚新几内亚,0
2103350,zh-CN,OC,大洋洲,SB,所罗门群岛,0
2110297,zh-CN,OC,大洋洲,TV,图瓦卢,0
2110425,zh-CN,OC,大洋洲,NR,瑙鲁,0
2134431,zh-CN,OC,大洋洲,VU,瓦努阿图,0
2139685,zh-CN,OC,大洋洲,NC,新喀里多尼亚,0
2155115,zh-CN,OC,大洋洲,NF,诺福克岛,0
2186224,zh-CN,OC,大洋洲,NZ,新西兰,0
2205218,zh-CN,OC,大洋洲,FJ,斐济,0
2215636,zh-CN,AF,非洲,LY,利比亚,0
2233387,zh-CN,AF,非洲,CM,喀麦隆,0
2245662,zh-CN,AF,非洲,SN,塞内加尔,0
2260494,zh-CN,AF,非洲,CG,刚果共和国,0
2264397,zh-CN,EU,欧洲,PT,葡萄牙,1
2275384,zh-CN,AF,非洲,LR,利比里亚,0
2287781,zh-CN,AF,非洲,CI,象牙海岸,0
2300660,zh-CN,AF,非洲,GH,加纳,0
2309096,zh-CN,AF,非洲,GQ,赤道几内亚,0
2328926,zh-CN,AF,非洲,NG,尼日利亚,0
2361809,zh-CN,AF,非洲,BF,布基纳法索,0
2363686,zh-CN,AF,非洲,TG,多哥,0
2372248,zh-CN,AF,非洲,GW,几内亚比绍,0
2378080,zh-CN,AF,非洲,MR,毛利塔尼亚,0
2395170,zh-CN,AF,非洲,BJ,贝宁,0
2400553,zh-CN,AF,非洲,GA,加蓬,0
2403846,zh-CN,AF,非洲,SL,塞拉利昂,0
2410758,zh-CN,AF,非洲,ST,圣多美和普林西比,0
2411586,zh-CN,EU,欧洲,GI,直布罗陀,0
2413451,zh-CN,AF,非洲,GM,冈比亚,0
2420477,zh-CN,AF,非洲,GN,几内亚,0
2434508,zh-CN,AF,非洲,TD,乍得,0
2440476,zh-CN,AF,非洲,NE,尼日尔,0
2453866,zh-CN,AF,非洲,ML,马里,0
2461445,zh-CN,AF,非洲,EH,西撒哈拉,0
2464461,zh-CN,AF,非洲,TN,突尼斯,0
2510769,zh-CN,EU,欧洲,ES,西班牙,1
2542007,zh-CN,AF,非洲,MA,摩洛哥,0
2562770,zh-CN,EU,欧洲,MT,马耳他,1
2589581,zh-CN,AF,非洲,DZ,阿尔及利亚,0
2622320,zh-CN,EU,欧洲,FO,法罗群岛,0
2623032,zh-CN,EU,欧洲,DK,丹麦,1
2629691,zh-CN,EU,欧洲,IS,冰岛,0
2635167,zh-CN,EU,欧洲,GB,英国,0
2658434,zh-CN,EU,欧洲,CH,瑞士,0
2661886,zh-CN,EU,欧洲,SE,瑞典,1
2750405,zh-CN,EU,欧洲,NL,荷兰,1
2782113,zh-CN,EU,欧洲,AT,奥地利,1
2802361,zh-CN,EU,欧洲,BE,比利时,1
2921044,zh-CN,EU,欧洲,DE,德国,1
2960313,zh-CN,EU,欧洲,LU,卢森堡,1
2963597,zh-CN,EU,欧洲,IE,爱尔兰,1
2993457,zh-CN,EU,欧洲,MC,摩纳哥,0
3017382,zh-CN,EU,欧洲,FR,法国,1
3041565,zh-CN,EU,欧洲,AD,安道尔,0
3042058,zh-CN,EU,欧洲,LI,列支敦士登,0
3042142,zh-CN,EU,欧洲,JE,泽西岛,0
3042225,zh-CN,EU,欧洲,IM,英国属地曼岛,0
3042362,zh-CN,EU,欧洲,GG,根西岛,0
3057568,zh-CN,EU,欧洲,SK,斯洛伐克,1
3077311,zh-CN,EU,欧洲,CZ,捷克,1
3144096,zh-CN,EU,欧洲,NO,挪威,0
3164670,zh-CN,EU,欧洲,VA,梵蒂冈,0
3168068,zh-CN,EU,欧洲,SM,圣马力诺,0
3175395,zh-CN,EU,欧洲,IT,意大利,1
3190538,zh-CN,EU,欧洲,SI,斯洛文尼亚,1
3194884,zh-CN,EU,欧洲,ME,黑山,0
3202326,zh-CN,EU,欧洲,HR,克罗地亚,1
3277605,zh-CN,EU,欧洲,BA,波黑,0
3351879,zh-CN,AF,非洲,AO,安哥拉,0
3355338,zh-CN,AF,非洲,NA,纳米比亚,0
3370751,zh-CN,AF,非洲,SH,圣赫勒拿,0
3371123,zh-CN,AN,南极洲,BV,布维岛,0
3374084,zh-CN,NA,北美洲,BB,巴巴多斯,0
3374766,zh-CN,AF,非洲,CV,佛得角,0
3378535,zh-CN,SA,南美洲,GY,圭亚那,0
3381670,zh-CN,SA,南美洲,GF,法属圭亚那,1
3382998,zh-CN,SA,南美洲,SR,苏里南,0
3424932,zh-CN,NA,北美洲,PM,圣皮埃尔和密克隆群岛,0
3425505,zh-CN,NA,北美洲,GL,格陵兰,0
3437598,zh-CN,SA,南美洲,PY,巴拉圭,0
3439705,zh-CN,SA,南美洲,UY,乌拉圭,0
3469034,zh-CN,SA,南美洲,BR,巴西,0
3474414,zh-CN,SA,南美洲,FK,福克兰群岛（马尔维纳斯）,0
3474415,zh-CN,AN,南极洲,GS,南乔治亚岛和南桑德韦奇岛,0
3489940,zh-CN,NA,北美洲,JM,牙买加,0
3508796,zh-CN,NA,北美洲,DO,多米尼加,0
3562981,zh-CN,NA,北美洲,CU,古巴,0
3570311,zh-CN,NA,北美洲,MQ,马提尼克,1
3572887,zh-CN,NA,北美洲,BS,巴哈马,0
3573345,zh-CN,NA,北美洲,BM,百慕大,0
3573511,zh-CN,NA,北美洲,AI,安圭拉,0
3573591,zh-CN,NA,北美洲,TT,特立尼达和多巴哥,0
3575174,zh-CN,NA,北美洲,KN,圣基茨和尼维斯,0
3575830,zh-CN,NA,北美洲,DM,多米尼克,0
3576396,zh-CN,NA,北美洲,AG,安提瓜和巴布达,0
3576468,zh-CN,NA,北美洲,LC,圣卢西亚,0
3576916,zh-CN,NA,北美洲,TC,特克斯和凯科斯群岛,0
3577279,zh-CN,NA,北美洲,AW,阿鲁巴,0
3577718,zh-CN,NA,北美洲,VG,英属维尔京群岛,0
3577815,zh-CN,NA,北美洲,VC,圣文森特和格林纳丁斯,0
3578097,zh-CN,NA,北美洲,MS,蒙特塞拉特,0
3578421,zh-CN,NA,北美洲,MF,法属圣马丁,1
3578476,zh-CN,NA,北美洲,BL,圣巴泰勒米,0
3579143,zh-CN,NA,北美洲,GP,瓜德罗普,1
3580239,zh-CN,NA,北美洲,GD,格林纳达,0
3580718,zh-CN,NA,北美洲,KY,开曼群岛,0
3582678,zh-CN,NA,北美洲,BZ,伯利兹,0
3585968,zh-CN,NA,北美洲,SV,萨尔瓦多,0
3595528,zh-CN,NA,北美洲,GT,危地马拉,0
3608932,zh-CN,NA,北美洲,HN,洪都拉斯,0
3617476,zh-CN,NA,北美洲,NI,尼加拉瓜,0
3624060,zh-CN,NA,北美洲,CR,哥斯达黎加,0
3625428,zh-CN,SA,南美洲,VE,委内瑞拉,0
3658394,zh-CN,SA,南美洲,EC,厄瓜多尔,0
3686110,zh-CN,SA,南美洲,CO,哥伦比亚,0
3703430,zh-CN,NA,北美洲,PA,巴拿马,0
3723988,zh-CN,NA,北美洲,HT,海地,0
3865483,zh-CN,SA,南美洲,AR,阿根廷,0
3895114,zh-CN,SA,南美洲,CL,智利,0
3923057,zh-CN,SA,南美洲,BO,玻利维亚,0
3932488,zh-CN,SA,南美洲,PE,秘鲁,0
3996063,zh-CN,NA,北美洲,MX,墨西哥,0
4030656,zh-CN,OC,大洋洲,PF,法属波利尼西亚,0
4030699,zh-CN,OC,大洋洲,PN,皮特凯恩,0
4030945,zh-CN,OC,大洋洲,KI,基里巴斯,0
4031074,zh-CN,OC,大洋洲,TK,托克劳,0
4032283,zh-CN,OC,大洋洲,TO,汤加,0
4034749,zh-CN,OC,大洋洲,WF,瓦利斯和富图纳,0
4034894,zh-CN,OC,大洋洲,WS,萨摩亚,0
4036232,zh-CN,OC,大洋洲,NU,纽埃,0
4041468,zh-CN,OC,大洋洲,MP,北马里亚纳,0
4043988,zh-CN,OC,大洋洲,GU,关岛,0
4566966,zh-CN,NA,北美洲,PR,波多黎各,0
4796775,zh-CN,NA,北美洲,VI,美属维尔京群岛,0
5854968,zh-CN,OC,大洋洲,UM,美国本土外小岛屿,0
5880801,zh-CN,OC,大洋洲,AS,美属萨摩亚,0
6251999,zh-CN,NA,北美洲,CA,加拿大,0
6252001,zh-CN,NA,北美洲,US,美国,0
6254930,zh-CN,AS,亚洲,PS,巴勒斯坦,0
6255147,zh-CN,AS,亚洲,,,0
6255148,zh-CN,EU,欧洲,,,0
6290252,zh-CN,EU,欧洲,RS,塞尔维亚,0
6697173,zh-CN,AN,南极洲,AQ,南极洲,0
7609695,zh-CN,NA,北美洲,SX,圣马丁岛,0
7626836,zh-CN,NA,北美洲,CW,库拉索,0
7626844,zh-CN,NA,北美洲,BQ,博奈尔岛、圣尤斯达蒂斯和萨巴,0
7909807,zh-CN,AF,非洲,SS,南苏丹,0
